idx,projection,refused
0,3.337074041366577,1
1,3.580442428588867,1
2,2.5104198455810547,1
3,3.5086255073547363,1
4,3.5583786964416504,1
5,3.5849859714508057,1
6,3.0940585136413574,1
7,3.8500795364379883,1
8,3.3320188522338867,1
9,2.802644968032837,1
10,3.7652781009674072,1
11,2.704744338989258,0
12,3.9150962829589844,1
13,3.0626296997070312,1
14,3.83194899559021,1
15,3.0232505798339844,1
16,3.3034186363220215,1
17,3.4969189167022705,1
18,3.5919318199157715,1
19,2.989107847213745,1
20,2.5043225288391113,0
21,3.0092320442199707,1
22,3.5083651542663574,1
23,2.8774752616882324,1
24,3.0894227027893066,1
25,2.7122292518615723,1
26,1.492992639541626,0
27,2.871556282043457,1
28,3.4837379455566406,1
29,3.3565351963043213,1
30,3.509424924850464,1
31,2.620528221130371,1
32,3.7933578491210938,1
33,3.300602912902832,1
34,3.268723726272583,1
35,3.3748273849487305,1
36,3.8786613941192627,1
37,3.3694047927856445,0
38,3.5595014095306396,1
39,2.0759623050689697,1
40,2.496859073638916,0
41,3.5818300247192383,1
42,3.4778594970703125,1
43,2.2634150981903076,1
44,3.219754457473755,1
45,2.865286111831665,1
46,3.5757575035095215,1
47,3.339991807937622,1
48,3.277176856994629,1
49,2.7904410362243652,1
50,2.7176661491394043,1
51,3.341621160507202,1
52,3.1014347076416016,1
53,3.0204458236694336,1
54,3.412320137023926,1
55,3.6551997661590576,1
56,3.5057168006896973,1
57,2.9494776725769043,1
58,3.110233783721924,1
59,3.357174873352051,1
60,3.2963616847991943,1
61,3.7602059841156006,1
62,3.0626842975616455,1
63,3.6518173217773438,1
64,3.544361114501953,1
65,3.165318489074707,1
66,3.584439754486084,1
67,3.1276192665100098,1
68,3.5379483699798584,1
69,3.3035874366760254,1
70,3.6676721572875977,1
71,3.4114761352539062,1
72,2.6150505542755127,1
73,3.390671491622925,1
74,3.526419162750244,1
75,3.132317066192627,1
76,3.245482921600342,1
77,3.192955493927002,1
78,3.547335386276245,1
79,3.2250490188598633,1
80,3.5807151794433594,1
81,3.594261884689331,1
82,3.3210926055908203,1
83,3.527763843536377,1
84,3.658855438232422,1
85,3.3695335388183594,1
86,3.2753326892852783,1
87,3.576815605163574,1
88,3.330686330795288,1
89,3.1882972717285156,1
90,2.8429675102233887,1
91,2.652648448944092,1
92,2.895904541015625,1
93,3.3464467525482178,1
94,3.151412010192871,1
95,3.570333242416382,1
96,2.6182479858398438,1
97,1.914215087890625,1
98,3.1956257820129395,1
99,3.845651626586914,1
