idx,projection,refused
0,30.646217346191406,1
1,30.614748001098633,1
2,22.705303192138672,1
3,28.912385940551758,1
4,29.885942459106445,1
5,26.673675537109375,1
6,28.154542922973633,1
7,28.35345458984375,1
8,29.2763729095459,1
9,19.964487075805664,0
10,30.020349502563477,1
11,24.880836486816406,1
12,26.89845085144043,1
13,26.46809196472168,1
14,30.82967185974121,1
15,26.018112182617188,1
16,27.979097366333008,1
17,31.386131286621094,1
18,28.354354858398438,1
19,25.768707275390625,1
20,25.544729232788086,1
21,21.990297317504883,1
22,28.259727478027344,1
23,25.529075622558594,1
24,26.480451583862305,0
25,22.296192169189453,1
26,19.524568557739258,0
27,22.265039443969727,1
28,32.40210723876953,1
29,26.93443489074707,1
30,29.46853256225586,1
31,20.639530181884766,1
32,26.248882293701172,1
33,29.35110855102539,1
34,30.884546279907227,1
35,25.872594833374023,1
36,27.559425354003906,1
37,29.159008026123047,1
38,30.766077041625977,1
39,19.661048889160156,1
40,26.443073272705078,1
41,29.017581939697266,1
42,30.613788604736328,1
43,26.507732391357422,1
44,26.938579559326172,0
45,23.254688262939453,1
46,31.92107391357422,1
47,29.67502212524414,1
48,29.977994918823242,1
49,26.527345657348633,1
50,29.740814208984375,1
51,29.800373077392578,1
52,23.115859985351562,1
53,29.162086486816406,1
54,31.019115447998047,1
55,26.400455474853516,1
56,30.485671997070312,1
57,25.27981185913086,1
58,24.44929313659668,1
59,28.682310104370117,1
60,31.04779815673828,1
61,26.484760284423828,1
62,24.351755142211914,0
63,30.441255569458008,1
64,31.232328414916992,1
65,21.586599349975586,1
66,30.123931884765625,1
67,27.971771240234375,1
68,27.843481063842773,1
69,32.2736930847168,1
70,29.796245574951172,1
71,29.980804443359375,1
72,19.503501892089844,0
73,29.115449905395508,1
74,27.454483032226562,1
75,27.46000099182129,1
76,29.713092803955078,1
77,27.38479995727539,1
78,27.421052932739258,1
79,24.92804718017578,1
80,28.311548233032227,1
81,28.58074188232422,1
82,32.60883331298828,1
83,31.103595733642578,1
84,26.650964736938477,1
85,29.367021560668945,1
86,29.05003547668457,1
87,28.552873611450195,1
88,30.221006393432617,1
89,32.29071044921875,1
90,26.037067413330078,1
91,24.979570388793945,1
92,27.840473175048828,1
93,28.59773063659668,1
94,22.196205139160156,1
95,29.836122512817383,1
96,23.45347785949707,1
97,21.316335678100586,1
98,28.88850975036621,1
99,30.061355590820312,1
100,24.750648498535156,1
101,28.165822982788086,1
102,31.45926856994629,1
103,28.559818267822266,1
104,24.712860107421875,1
105,28.211721420288086,1
106,30.943511962890625,1
107,32.41958236694336,1
108,29.892066955566406,1
109,26.78045654296875,1
110,24.128173828125,1
111,31.056297302246094,1
112,28.69110679626465,1
113,29.25181007385254,1
114,28.545072555541992,1
115,28.020692825317383,1
116,29.304275512695312,1
117,30.389877319335938,1
118,28.723093032836914,1
119,31.467470169067383,1
120,27.451845169067383,1
121,20.45115089416504,0
122,23.101316452026367,1
123,17.422700881958008,0
124,30.457412719726562,1
125,18.214370727539062,1
126,30.196319580078125,1
127,28.05030059814453,1
128,25.23821258544922,1
129,30.360429763793945,1
130,28.598466873168945,1
131,25.380231857299805,1
132,19.365694046020508,1
133,32.475303649902344,1
134,22.540090560913086,0
135,26.067113876342773,1
136,25.038188934326172,0
137,27.714855194091797,1
138,28.902027130126953,1
139,28.228130340576172,1
140,27.66314125061035,1
141,28.123363494873047,1
142,26.503047943115234,1
143,31.616336822509766,1
144,31.31281280517578,1
145,29.713985443115234,1
146,23.0964298248291,1
147,27.90219497680664,0
148,26.699020385742188,1
149,21.375089645385742,1
150,30.301368713378906,1
151,28.23396110534668,1
152,31.6026668548584,1
153,30.06296157836914,1
154,30.13291358947754,1
155,28.898061752319336,1
156,26.60704231262207,1
157,27.355613708496094,1
158,24.38743782043457,1
159,28.96892738342285,1
160,30.10570526123047,1
161,21.0914306640625,1
162,23.080135345458984,1
163,25.533721923828125,1
164,27.200042724609375,1
165,29.21831703186035,1
166,27.841516494750977,1
167,28.01691246032715,1
168,32.62174987792969,1
169,27.351673126220703,1
170,24.25311279296875,1
171,25.290782928466797,1
172,29.658302307128906,1
173,27.531627655029297,1
174,29.095443725585938,1
175,27.873638153076172,1
176,22.893875122070312,1
177,28.158178329467773,1
178,27.25824737548828,1
179,27.852275848388672,1
180,27.934282302856445,1
181,27.368793487548828,1
182,29.46605682373047,1
183,27.588809967041016,1
184,30.47150230407715,1
185,12.812530517578125,0
186,31.6588077545166,1
187,32.04046630859375,1
188,23.1180419921875,1
189,30.132854461669922,1
190,26.711732864379883,1
191,22.883481979370117,1
192,24.107402801513672,1
193,29.396709442138672,1
194,32.8848876953125,1
195,23.993371963500977,1
196,26.388099670410156,1
197,31.48522186279297,1
198,28.56464958190918,1
199,30.074308395385742,1
