idx,projection,refused
0,31.41585922241211,1
1,32.77350997924805,1
2,24.4404354095459,1
3,31.143775939941406,1
4,31.326820373535156,1
5,26.887359619140625,1
6,30.251171112060547,1
7,29.105480194091797,1
8,30.993148803710938,1
9,20.437057495117188,1
10,32.04454040527344,1
11,26.294620513916016,1
12,26.512340545654297,1
13,28.921112060546875,1
14,30.93854522705078,1
15,27.53409194946289,1
16,30.68830108642578,1
17,33.274635314941406,1
18,30.700658798217773,1
19,27.0904598236084,1
20,27.957839965820312,1
21,23.052215576171875,1
22,30.040706634521484,1
23,26.575740814208984,1
24,27.998695373535156,1
25,23.269617080688477,1
26,20.446514129638672,1
27,22.389408111572266,1
28,34.84527587890625,1
29,28.78626251220703,1
30,30.68740463256836,1
31,22.59636878967285,1
32,27.569379806518555,1
33,31.03217124938965,1
34,32.358360290527344,1
35,25.365337371826172,1
36,27.58024024963379,1
37,32.318946838378906,1
38,32.09653091430664,1
39,20.85721778869629,1
40,27.254348754882812,1
41,28.70599937438965,1
42,32.655025482177734,1
43,26.287179946899414,1
44,28.129188537597656,1
45,24.869476318359375,1
46,33.16339111328125,1
47,32.44138717651367,1
48,31.424434661865234,1
49,28.034589767456055,1
50,32.360755920410156,1
51,31.843189239501953,1
52,23.572856903076172,1
53,30.600311279296875,1
54,33.2928466796875,1
55,27.297794342041016,1
56,32.119598388671875,1
57,26.82931137084961,1
58,25.5446834564209,1
59,31.138065338134766,1
60,31.465923309326172,1
61,28.060138702392578,1
62,26.36176300048828,1
63,32.34223175048828,1
64,32.08287048339844,1
65,21.829593658447266,1
66,32.858238220214844,1
67,28.738624572753906,1
68,29.315792083740234,1
69,34.562889099121094,1
70,32.86338806152344,1
71,32.22076416015625,1
72,20.195491790771484,1
73,30.86659812927246,1
74,27.58449935913086,1
75,28.62142562866211,1
76,32.118526458740234,1
77,27.50790023803711,1
78,28.95428466796875,1
79,28.426227569580078,1
80,28.936626434326172,1
81,29.56353187561035,1
82,34.971031188964844,1
83,32.581092834472656,1
84,26.5006103515625,1
85,29.946151733398438,1
86,30.9263973236084,1
87,30.793964385986328,1
88,31.156286239624023,1
89,33.81388854980469,1
90,27.412565231323242,1
91,26.779071807861328,1
92,29.4466609954834,1
93,30.374710083007812,1
94,26.530319213867188,1
95,30.290544509887695,1
96,24.0128231048584,1
97,20.789066314697266,1
98,31.08899688720703,1
99,31.86897850036621,1
100,26.593978881835938,1
101,29.884490966796875,1
102,33.231170654296875,1
103,30.45925521850586,1
104,25.35061264038086,1
105,30.24118995666504,1
106,31.68631935119629,1
107,33.71417236328125,1
108,30.903411865234375,1
109,27.736156463623047,1
110,24.580101013183594,1
111,34.00681686401367,1
112,30.543428421020508,1
113,30.428852081298828,1
114,30.20785903930664,1
115,29.96215057373047,1
116,28.54926872253418,1
117,30.47834014892578,1
118,30.703306198120117,1
119,33.64269256591797,1
120,29.723522186279297,1
121,21.356121063232422,1
122,23.285900115966797,1
123,17.457693099975586,0
124,33.44166564941406,1
125,20.39532470703125,1
126,32.80615997314453,1
127,29.913938522338867,1
128,27.368690490722656,1
129,32.14405059814453,1
130,30.98114585876465,1
131,26.36164093017578,1
132,21.884803771972656,1
133,33.742855072021484,1
134,23.025455474853516,1
135,26.290929794311523,1
136,26.73950958251953,1
137,28.138887405395508,1
138,32.1044921875,1
139,29.618797302246094,1
140,29.474349975585938,1
141,31.056133270263672,1
142,28.34737205505371,1
143,32.04338836669922,1
144,32.09674835205078,1
145,31.713815689086914,1
146,26.02747344970703,1
147,30.378610610961914,1
148,28.006757736206055,1
149,22.423954010009766,1
150,31.74448013305664,1
151,28.967077255249023,1
152,33.18534469604492,1
153,33.10061264038086,1
154,32.52753448486328,1
155,30.608596801757812,1
156,28.71975326538086,1
157,27.83091163635254,1
158,26.93032455444336,1
159,30.16536521911621,1
160,31.694181442260742,1
161,23.679933547973633,1
162,23.09988021850586,1
163,26.201847076416016,1
164,27.955461502075195,1
165,31.892913818359375,1
166,27.151330947875977,1
167,28.23008918762207,1
168,34.7352180480957,1
169,27.80104637145996,1
170,24.72962188720703,1
171,25.919118881225586,1
172,32.328834533691406,1
173,29.242870330810547,1
174,29.843982696533203,1
175,29.38277816772461,1
176,23.628986358642578,1
177,29.29783821105957,1
178,27.52627944946289,1
179,28.93174171447754,1
180,30.404987335205078,1
181,28.506227493286133,1
182,31.29458999633789,1
183,29.815786361694336,1
184,32.53260040283203,1
185,13.01172161102295,0
186,33.02769470214844,1
187,34.13908386230469,1
188,25.509187698364258,1
189,31.331085205078125,1
190,25.31116485595703,1
191,24.840147018432617,1
192,25.337902069091797,1
193,31.20883560180664,1
194,34.89799880981445,1
195,24.69603729248047,1
196,28.86030387878418,1
197,33.97310256958008,1
198,28.756139755249023,1
199,32.60802459716797,1
