idx,projection,refused
0,7.843836784362793,1
1,8.885503768920898,0
2,6.527997970581055,1
3,7.961745262145996,1
4,8.954249382019043,1
5,8.51213264465332,1
6,8.07832145690918,1
7,8.35765266418457,1
8,7.696226119995117,0
9,7.357317924499512,1
10,8.085718154907227,1
11,6.125589370727539,1
12,8.906846046447754,1
13,8.373991012573242,1
14,9.069007873535156,0
15,7.767499923706055,1
16,8.58444595336914,1
17,8.96025562286377,1
18,8.809616088867188,0
19,6.265940189361572,1
20,7.9962944984436035,0
21,6.796839237213135,1
22,8.917167663574219,0
23,7.85761833190918,1
24,6.404388427734375,1
25,6.891702651977539,1
26,0.8129976391792297,0
27,7.598667144775391,1
28,7.624551773071289,0
29,8.73575496673584,1
30,9.094508171081543,1
31,4.636372089385986,1
32,8.750482559204102,1
33,9.337126731872559,1
34,8.825897216796875,1
35,9.060995101928711,0
36,7.9603424072265625,1
37,8.416244506835938,1
38,8.835350036621094,1
39,4.760643005371094,1
40,6.029170989990234,0
41,8.396210670471191,1
42,8.749347686767578,1
43,6.885257244110107,1
44,7.343454837799072,0
45,6.620306968688965,1
46,7.964733600616455,1
47,8.457792282104492,1
48,7.749618053436279,1
49,7.4683451652526855,1
50,5.647715091705322,1
51,9.158452987670898,0
52,7.391020774841309,1
53,8.376129150390625,1
54,8.565092086791992,1
55,7.804835319519043,1
56,8.616954803466797,0
57,6.854580879211426,0
58,6.185581207275391,1
59,8.984561920166016,0
60,8.384641647338867,0
61,9.431451797485352,1
62,6.066470146179199,1
63,9.14627456665039,0
64,8.647363662719727,1
65,6.8311662673950195,1
66,8.53624153137207,0
67,6.983652591705322,1
68,8.020103454589844,1
69,8.196638107299805,1
70,9.074172973632812,1
71,9.051206588745117,1
72,5.76484489440918,1
73,8.765592575073242,0
74,9.244443893432617,1
75,6.626858711242676,0
76,7.8744120597839355,1
77,8.236534118652344,0
78,8.012053489685059,1
79,7.609210014343262,1
80,7.925819396972656,1
81,9.128616333007812,1
82,8.282909393310547,1
83,7.914872169494629,1
84,8.528666496276855,1
85,8.132221221923828,1
86,8.349335670471191,1
87,7.4509477615356445,1
88,7.8668904304504395,1
89,8.132389068603516,1
90,7.779960632324219,1
91,6.945561408996582,0
92,7.866638660430908,1
93,7.31537389755249,1
94,6.0175676345825195,1
95,8.5348539352417,1
96,6.707755088806152,1
97,3.5727133750915527,1
98,8.90196418762207,0
99,9.101513862609863,0
100,8.260977745056152,1
101,7.955789566040039,1
102,8.657621383666992,1
103,8.857818603515625,1
104,8.478507995605469,0
105,8.078007698059082,1
106,7.794425010681152,0
107,8.03622817993164,0
108,8.334383010864258,1
109,8.740575790405273,1
110,6.604743957519531,0
111,9.408371925354004,1
112,8.480045318603516,1
113,7.9450883865356445,1
114,8.856476783752441,0
115,9.147323608398438,1
116,8.715274810791016,1
117,9.010680198669434,1
118,8.068706512451172,0
119,9.176247596740723,1
120,7.034283638000488,0
121,4.3209381103515625,1
122,8.324813842773438,0
123,-1.8545383214950562,0
124,8.851062774658203,1
125,4.104432582855225,0
126,8.553386688232422,1
127,8.906999588012695,1
128,7.262451171875,0
129,8.096965789794922,0
130,8.298961639404297,0
131,8.418985366821289,0
132,7.552661895751953,1
133,8.737013816833496,1
134,4.648350715637207,0
135,6.644643306732178,1
136,5.435876846313477,1
137,8.858335494995117,1
138,6.778643608093262,1
139,7.742157459259033,1
140,7.780979633331299,1
141,8.418865203857422,1
142,8.510250091552734,1
143,8.360185623168945,0
144,7.706974506378174,0
145,8.468578338623047,0
146,7.607442855834961,1
147,7.409564971923828,0
148,8.599915504455566,0
149,6.990857124328613,1
150,7.738387584686279,0
151,8.423013687133789,1
152,8.648990631103516,1
153,8.502374649047852,1
154,8.99946117401123,1
155,9.142576217651367,1
156,5.51803731918335,1
157,7.844932556152344,1
158,8.22823429107666,1
159,8.491983413696289,0
160,8.47783088684082,0
161,6.150708198547363,1
162,7.28006649017334,1
163,8.417717933654785,1
164,8.485113143920898,1
165,8.304555892944336,1
166,6.004427909851074,1
167,8.468080520629883,1
168,7.946976661682129,0
169,7.88938045501709,1
170,7.583264350891113,1
171,8.551335334777832,1
172,8.71402645111084,1
173,8.272331237792969,1
174,7.814019680023193,0
175,8.877840995788574,1
176,6.989893913269043,1
177,6.738156318664551,0
178,7.7379302978515625,1
179,8.070344924926758,0
180,8.146939277648926,0
181,8.108169555664062,1
182,9.216001510620117,1
183,8.809259414672852,1
184,8.770402908325195,1
185,-3.0103468894958496,0
186,8.480606079101562,1
187,8.340370178222656,1
188,7.446239948272705,1
189,8.572588920593262,1
190,6.782642364501953,1
191,2.0385005474090576,0
192,4.009000301361084,0
193,6.155570983886719,1
194,7.564115524291992,0
195,7.429807662963867,1
196,8.498044967651367,1
197,8.974964141845703,1
198,6.165329933166504,0
199,5.8658857345581055,1
