idx,projection,refused
0,2.65470290184021,1
1,2.697582244873047,1
2,1.9166178703308105,1
3,2.940053939819336,1
4,2.95194149017334,1
5,2.7199459075927734,1
6,3.009507179260254,1
7,3.0424680709838867,1
8,2.5775742530822754,1
9,2.529705047607422,1
10,2.671104907989502,1
11,1.9182190895080566,0
12,3.3109397888183594,1
13,2.9433817863464355,1
14,3.238184690475464,1
15,2.3567023277282715,1
16,2.826146125793457,1
17,2.61865496635437,1
18,3.0829718112945557,1
19,2.798025369644165,1
20,2.330976963043213,1
21,2.6968376636505127,1
22,3.5568532943725586,1
23,2.5659828186035156,1
24,2.9473891258239746,1
25,2.124734878540039,1
26,1.6460754871368408,0
27,2.733792304992676,1
28,2.7435848712921143,1
29,2.643578052520752,1
30,3.096050500869751,1
31,1.7510709762573242,1
32,3.2417590618133545,1
33,2.7835631370544434,1
34,3.3387160301208496,1
35,2.6861093044281006,1
36,2.676239013671875,1
37,2.531153678894043,1
38,2.45648193359375,1
39,1.8800983428955078,0
40,2.3314294815063477,0
41,2.609988212585449,1
42,2.4280238151550293,1
43,1.8275858163833618,1
44,2.830841064453125,1
45,2.3847169876098633,1
46,2.7824106216430664,1
47,2.774205207824707,1
48,2.950524091720581,1
49,2.4017300605773926,1
50,2.3643505573272705,1
51,3.074707508087158,1
52,2.05017352104187,1
53,2.3166873455047607,1
54,2.906430244445801,1
55,2.344311237335205,1
56,3.294796943664551,1
57,2.6443698406219482,1
58,1.892195224761963,1
59,2.4712116718292236,1
60,2.4916844367980957,1
61,2.9213812351226807,1
62,2.456035852432251,0
63,3.329158306121826,1
64,2.755345344543457,1
65,2.7320966720581055,1
66,3.1478047370910645,1
67,2.6629559993743896,1
68,2.5691089630126953,1
69,2.7179670333862305,1
70,2.8860063552856445,1
71,3.239651918411255,1
72,2.0637872219085693,1
73,2.7219619750976562,1
74,2.9283931255340576,1
75,2.5225472450256348,1
76,3.04240083694458,1
77,2.4913270473480225,1
78,2.928370475769043,1
79,2.385105609893799,1
80,2.386821746826172,1
81,2.9424171447753906,1
82,3.145505428314209,1
83,2.6026368141174316,1
84,2.9701318740844727,1
85,2.326310157775879,1
86,2.769584894180298,1
87,2.928256034851074,1
88,3.164422035217285,1
89,2.764479637145996,1
90,2.431891679763794,1
91,2.504019260406494,1
92,2.8786067962646484,1
93,2.5233137607574463,1
94,2.0098893642425537,1
95,2.899631977081299,1
96,2.313966751098633,1
97,1.9580073356628418,1
98,3.2062926292419434,1
99,3.4375805854797363,1
100,2.295966386795044,1
101,2.931431770324707,1
102,3.0432896614074707,1
103,3.085078716278076,1
104,2.0015816688537598,1
105,2.822798013687134,1
106,2.589785575866699,1
107,2.787043333053589,1
108,2.7747607231140137,1
109,2.923008441925049,1
110,2.227994918823242,1
111,3.166321277618408,1
112,2.975532054901123,1
113,2.420182228088379,1
114,2.9755966663360596,1
115,3.089114189147949,1
116,2.8333277702331543,1
117,3.0860910415649414,1
118,3.359488010406494,1
119,3.051199436187744,1
120,2.2963829040527344,0
121,1.9529134035110474,1
122,3.538300037384033,1
123,1.417333960533142,0
124,2.7366108894348145,1
125,1.4599525928497314,0
126,3.0826191902160645,1
127,3.0445399284362793,1
128,2.7110652923583984,1
129,3.209728956222534,1
130,3.28645658493042,1
131,2.080662727355957,1
132,2.3036952018737793,1
133,2.5942816734313965,1
134,1.9110296964645386,0
135,2.74362850189209,1
136,2.667926788330078,1
137,3.142873764038086,1
138,3.3617334365844727,1
139,2.1861209869384766,1
140,2.7271666526794434,1
141,2.9974374771118164,1
142,2.981173038482666,1
143,2.7647032737731934,1
144,2.745204448699951,1
145,2.698881149291992,1
146,2.4397988319396973,1
147,3.1205501556396484,1
148,2.3262553215026855,1
149,2.5523009300231934,1
150,2.9262313842773438,1
151,2.8190224170684814,1
152,2.459773063659668,1
153,3.115394353866577,1
154,3.352644443511963,1
155,3.290529251098633,1
156,2.5232596397399902,1
157,2.9761321544647217,1
158,2.939480781555176,1
159,2.0759730339050293,1
160,2.7394280433654785,1
161,2.0979721546173096,1
162,2.612825632095337,1
163,3.051853895187378,1
164,2.759174346923828,1
165,3.010103225708008,1
166,1.7124837636947632,0
167,2.958498001098633,1
168,2.7854466438293457,1
169,2.2066144943237305,1
170,2.703761577606201,1
171,3.525397539138794,1
172,3.121479034423828,1
173,2.2578134536743164,1
174,2.6412549018859863,1
175,3.0042972564697266,1
176,2.3732008934020996,1
177,2.44460129737854,1
178,2.541607141494751,1
179,2.470703601837158,1
180,2.971524715423584,1
181,3.0047526359558105,1
182,3.2319750785827637,1
183,2.805887222290039,1
184,2.823446035385132,1
185,1.2140872478485107,0
186,2.7849178314208984,1
187,2.7702980041503906,1
188,2.5065104961395264,1
189,3.374277114868164,1
190,1.7488791942596436,1
191,1.9826524257659912,0
192,1.6622310876846313,0
193,2.144279718399048,1
194,2.942099094390869,1
195,2.267882823944092,1
196,2.569906711578369,1
197,2.9932382106781006,1
198,2.216038227081299,1
199,2.3345069885253906,1
